productCode	 colorId	 imgDetailColor
MBL261	619	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0583 vuong_1714728355_1.jpg
MBL261	620	https://monatabluelight.com/images/products/2024/05/03/small/Mặt trước_1714728334_1.jpg
MBL261	620	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 1_1714728335_1.jpg
MBL261	620	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3_1714728335_1.jpg
MBL261	620	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2_1714728336_1.jpg
MBL261	620	https://monatabluelight.com/images/products/2024/05/03/small/441044537_459250459801697_7934797663515391318_n_1714728351_1.jpg
MBL261	620	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0495 vuong_1714728353_1.jpg
MBL261	620	https://monatabluelight.com/images/products/2024/05/03/small/440888204_459248006468609_7979653523386750080_n_1714728354_1.jpg
MBL258	614	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2_1714726766_1.jpg
MBL258	614	https://monatabluelight.com/images/products/2024/05/03/small/Mặt trước_1714726767_1.jpg
MBL258	614	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3_1714726767_1.jpg
MBL258	614	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 1_1714726768_1.jpg
MBL258	614	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0567 vuong_1714726830_1.jpg
MBL258	614	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0569 vuong_1714726831_1.jpg
MBL257	613	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0674 vuong_1714726547_1.jpg
MBL257	613	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0666 vuong_1714726558_1.jpg
MBL257	613	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 1_1714726515_1.jpg
MBL257	613	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2_1714726514_1.jpg
MBL257	613	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3_1714726515_1.jpg
MBL257	613	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 4_1714726514_1.jpg
MBL257	613	https://monatabluelight.com/images/products/2024/05/03/small/Mặt trước_1714726516_1.jpg
MBL256	611	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0547. vuong_1714725870_1.jpg
MBL256	611	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0560 vuong_1714725869_1.jpg
MBL256	611	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 1_1714725837_1.jpg
MBL256	611	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2_1714725836_1.jpg
MBL256	611	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3_1714725836_1.jpg
MBL256	612	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0487 vuong_1714725871_1.jpg
MBL256	612	https://monatabluelight.com/images/products/2024/05/03/small/Mặt trước_1714725841_1.jpg
MBL256	612	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 1_1714725841_1.jpg
MBL254	606	https://monatabluelight.com/images/products/2024/05/03/small/DSCF06332 vuong_1714714956_1.jpg
MBL254	606	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0645 vuong_1714714959_1.jpg
MBL254	606	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 1_1714714942_1.jpg
MBL254	606	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2_1714714942_1.jpg
MBL254	606	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3_1714714942_1.jpg
MBL254	607	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0517 vuong_1714714957_1.jpg
MBL254	607	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0535 vuong_1714714958_1.jpg
MBL253	602	https://monatabluelight.com/images/products/2024/04/30/small/DSCF0694 vuong_1714473619_1.jpg
MBL253	602	https://monatabluelight.com/images/products/2024/04/30/small/mặt-trước1714457177_1714457177_1714461781_1.jpg
MBL253	602	https://monatabluelight.com/images/products/2024/04/30/small/Chi tiết 2_1714473553_1.jpg
MBL253	602	https://monatabluelight.com/images/products/2024/04/30/small/Chi tiết 1_1714473552_1.jpg
